File Name,brakes_DATA_MAX_TORQUE,brakes_DATA_FRONT_SHARE,drivetrain_DIFFERENTIAL_POWER,drivetrain_DIFFERENTIAL_COAST,drivetrain_DIFFERENTIAL_PRELOAD,suspensions_BASIC_WHEELBASE,suspensions_BASIC_CG_LOCATION,suspensions_ARB_FRONT,suspensions_ARB_REAR,suspensions_FRONT_TRACK,suspensions_FRONT_ROD_LENGTH,suspensions_FRONT_TOE_OUT,suspensions_FRONT_STATIC_CAMBER,suspensions_FRONT_SPRING_RATE,suspensions_FRONT_BUMP_STOP_RATE,suspensions_FRONT_PACKER_RANGE,suspensions_FRONT_DAMP_BUMP,suspensions_FRONT_DAMP_FAST_BUMP,suspensions_FRONT_DAMP_REBOUND,suspensions_FRONT_DAMP_FAST_REBOUND,suspensions_REAR_TRACK,suspensions_REAR_ROD_LENGTH,suspensions_REAR_TOE_OUT,suspensions_REAR_STATIC_CAMBER,suspensions_REAR_SPRING_RATE,suspensions_REAR_BUMP_STOP_RATE,suspensions_REAR_PACKER_RANGE,suspensions_REAR_DAMP_BUMP,suspensions_REAR_DAMP_FAST_BUMP,suspensions_REAR_DAMP_REBOUND,suspensions_REAR_DAMP_FAST_REBOUND,tyres_FRONT_PRESSURE_STATIC,tyres_REAR_PRESSURE_STATIC,Fastest Lap
input1_30.csv,471.53764,0.56529,0.12627,0.03211,15.93486,1.59266,0.45388,94049.0046,146716.00515,1.20054,0.01303,-0.00018,-2.73389,38227.08441,142378.33327,0.09103,1030.80967,720.01721,2653.69241,2328.61613,1.23893,0.01809,0.00334,0.05091,37224.16982,55121.64539,0.04035,1277.6225,2325.66425,2384.91783,2266.01363,17.16078,14.2911,40204
input1_31.csv,565.98611,0.56501,0.12027,0.44903,3.98095,1.74991,0.56343,76305.97548,68007.91234,1.21501,0.02279,0.00025,0.41615,22331.92629,141305.89735,0.07384,3201.37175,1834.87497,2327.22353,1672.26141,1.05693,0.02835,0.00279,-2.68732,37924.76885,126751.7757,0.10761,1503.63248,1091.02411,1520.00264,3170.95006,10.03854,14.52467,39689
input1_32.csv,551.55454,0.7368,0.12345,0.69618,10.479,1.86659,0.42079,42216.67898,122339.20205,1.06626,0.00175,0.00117,-0.95706,31291.31813,100597.82845,0.09498,3342.51486,2117.09835,2307.73961,1644.00781,1.31931,0.00581,-0.00139,-1.5465,35590.17408,78945.44905,0.06733,2623.27446,3429.2075,1820.40333,1660.40021,14.44796,15.8934,44468
input2_00.csv,584.97838,0.68159,0.04899,0.25441,11.56795,1.64804,0.42788,107461.69122,116229.74284,1.22661,0.01533,-0.00028,-2.16493,20397.80116,158842.11556,0.11123,1953.36715,1579.82634,2076.67589,2431.08915,1.28738,0.02285,0.00317,-1.7086,56670.77262,104990.04453,0.10876,1198.9936,503.80323,2101.67425,1153.26332,15.86391,11.37812,40306
input2_01.csv,504.22646,0.65816,0.1273,0.05902,17.96249,1.78907,0.59936,144298.87666,38378.25963,1.03274,0.00605,0.00147,-1.82881,39151.1784,103140.29841,0.06196,3378.8091,2536.47094,2924.77146,790.33024,1.38703,0.02456,0.00076,-0.62184,39718.33932,85258.61539,0.07749,3047.50851,3468.7606,1714.51158,2691.05523,18.67525,12.54306,41119
input2_02.csv,559.25235,0.79939,0.22576,0.56922,16.88803,1.71478,0.51513,10370.47252,93092.18708,1.32977,0.0145,0.00156,-2.82367,38901.41619,160399.8089,0.08131,3158.71911,2279.12752,3949.10207,2133.12143,1.23234,0.02967,0.0031,0.49993,61440.2859,71116.92792,0.06087,3209.06951,3085.15136,2820.72567,2366.8121,17.13329,14.82224,41851
input2_03.csv,666.49156,0.66707,0.90209,0.21448,22.36049,1.89264,0.51827,66533.59626,58038.35129,1.38023,0.017,0.00151,-2.6014,27936.24779,133201.37802,0.08859,3318.49058,1095.12424,3284.6256,3200.97452,1.22811,0.02777,0.00158,-0.85476,50433.37253,138013.07784,0.07931,3940.35868,1197.0191,3506.68055,1714.07434,11.07106,14.11274,40439
input2_04.csv,542.52156,0.5356,0.18483,0.46672,12.73195,1.55655,0.39445,116731.25335,111316.07174,1.05307,0.02472,0.00076,-1.81617,33319.53718,194723.41597,0.06438,1463.33742,883.97802,3335.99431,1551.53845,1.17731,0.01657,-0.00045,-1.75216,64507.25763,194465.50621,0.10201,3730.66473,2939.25603,1537.40733,1516.93022,15.9462,7.48544,40841
input2_05.csv,730.29848,0.61575,0.06359,0.64174,3.81777,1.72474,0.4783,71255.11431,114673.73996,1.30944,0.00452,0.00216,0.08738,36732.73529,57431.69461,0.11355,2536.59269,1175.5993,2080.08929,1461.52805,1.06547,0.02249,0.00384,-1.13211,25720.81649,61829.6764,0.07256,1130.49328,3482.64828,2316.37047,2525.5573,19.0497,7.60754,41764
input2_06.csv,752.08315,0.75881,0.30576,0.89537,7.97927,1.55328,0.38959,64554.31918,101613.56953,1.15552,0.02445,0.00021,-0.12679,27975.76718,147800.72459,0.05047,2500.95846,1005.27419,1811.34167,549.66313,1.05849,0.01806,-5e-05,-0.58362,41686.70293,70652.92167,0.11752,1571.2642,790.0834,4475.43916,3158.38842,15.86859,19.8595,40649
