,WorldPosition_X,WorldPosition_Z
474,-48.42163849,40.56804276
475,-48.41880035,40.32775497
476,-48.41376114,40.06118774
477,-48.40745163,39.81683731
478,-48.39947891,39.57059479
479,-48.38866043,39.29756927
480,-48.37672806,39.04743195
481,-48.36114883,38.77018738
482,-48.34479141,38.51625443
483,-48.32448959,38.23485184
484,-48.304039,37.97717667
485,-48.28157043,37.71776199
486,-48.2544899,37.43041992
487,-48.22780609,37.16740799
488,-48.19618988,36.87615585
489,-48.16520691,36.60964584
490,-48.12825775,36.3146553
491,-48.09173203,36.0449028
492,-48.05239105,35.77368164
493,-48.00598907,35.47365189
494,-47.96084595,35.19942474
495,-47.91255569,34.92388153
496,-47.85550308,34.61935043
497,-47.79995728,34.34127808
498,-47.73479462,34.03409958
499,-47.66535568,33.72560883
500,-47.59151459,33.41592407
501,-47.52096939,33.13322449
502,-47.43976593,32.82096481
503,-47.36220932,32.53614044
504,-47.28081131,32.25051498
505,-47.21278,32.021492
506,-47.15106964,31.82076645
507,-47.07801056,31.59102821
508,-47.00209045,31.36103439
509,-46.92311478,31.13089371
510,-46.84097672,30.90067482
511,-46.76644516,30.69922256
512,-46.67817307,30.46901131
513,-46.58687592,30.23867416
514,-46.49258423,30.00825882
515,-46.40768433,29.80662727
516,-46.30799103,29.57621956
517,-46.20530701,29.34597588
518,-46.09939194,29.11604309
519,-46.00365067,28.9152813
520,-45.89031601,28.68661118
521,-45.77240753,28.45906067
522,-45.64964676,28.23289108
523,-45.52179337,28.00838089
524,-45.38846588,27.78557205
525,-45.25042343,27.56436539
526,-45.12633514,27.37176323
527,-44.98106384,27.15261459
528,-44.81328583,26.90736008
529,-44.66031647,26.69055176
530,-44.50393295,26.47475624
531,-44.34453583,26.25970078
532,-44.18240738,26.04524422
533,-44.03806686,25.85858727
534,-43.87005234,25.64720535
535,-43.69878387,25.43798637
536,-43.50256348,25.20491409
537,-43.32629776,24.9983139
538,-43.14780045,24.78905869
539,-42.96917343,24.57819557
540,-42.7674675,24.33955765
541,-42.58662796,24.12718773
542,-42.40362549,23.91513252
543,-42.24168777,23.72983551
544,-42.05508423,23.51787376
545,-41.86758804,23.30500031
546,-41.70333481,23.11750984
547,-41.51559067,22.9016304
548,-41.32754517,22.68440437
549,-41.13872147,22.46630478
550,-40.94882965,22.24764442
551,-40.75791168,22.02834511
552,-40.56676483,21.80764389
553,-40.37619019,21.58486557
554,-40.1866188,21.35962105
555,-39.99829865,21.13176537
556,-39.81106186,20.90143967
557,-39.6244812,20.66903114
558,-39.46160126,20.46412849
559,-39.27604675,20.22808456
560,-39.09155273,19.98975372
561,-38.90826797,19.7490139
562,-38.726017,19.50597191
563,-38.54449844,19.26087952
564,-38.36352921,19.01390076
565,-38.20563126,18.79624367
566,-38.02592087,18.54558945
567,-37.847332,18.29268646
568,-37.69227219,18.06937408
569,-37.49470901,17.77942467
570,-37.32077026,17.51906586
571,-37.14836121,17.25630379
572,-36.95627594,16.95783424
573,-36.78737259,16.68991661
574,-36.62034607,16.41947365
575,-36.45538712,16.14642334
576,-36.31282043,15.9053545
577,-36.15190125,15.62744904
578,-35.99320602,15.34698105
579,-35.83676529,15.06394863
580,-35.68272018,14.77830219
581,-35.53131866,14.48996449
582,-35.38280487,14.19886589
583,-35.23733902,13.90497589
584,-35.07741547,13.57105637
585,-34.93829727,13.27149296
586,-34.81869507,13.00737572
587,-34.68451309,12.70325184
588,-34.55298233,12.39670277
589,-34.42241669,12.08841705
590,-34.29221725,11.77869034
591,-34.17986679,11.50603676
592,-34.05319214,11.19259167
593,-33.92857361,10.8771143
594,-33.80627441,10.55952263
595,-33.68621826,10.23988152
596,-33.58277893,9.95865345
597,-33.46626282,9.635539055
598,-33.35180283,9.310520172
599,-33.2400589,8.983420372
600,-33.13180542,8.654066086
601,-33.04044342,8.363937378
602,-32.94021606,8.030125618
603,-32.8445282,7.693993568
604,-32.75341415,7.355632305
605,-32.66717148,7.015096664
606,-32.58617401,6.672417641
607,-32.510849,6.327621937
608,-32.44156265,5.980725765
609,-32.38604355,5.675472736
610,-32.32849121,5.324793339
611,-32.27720642,4.972310066
612,-32.2322197,4.618153095
613,-32.1981163,4.306992531
614,-32.16532516,3.95002985
615,-32.13937378,3.591748953
616,-32.11867142,3.187327862
617,-32.10795593,2.826860905
618,-32.10456467,2.510849714
619,-32.10845947,2.103900194
620,-32.11986542,1.741739392
621,-32.13898468,1.379405499
622,-32.1623764,1.062452078
623,-32.19713211,0.700629413
624,-32.24061966,0.339523375
625,-32.29968262,-0.06571281
626,-32.35288239,-0.380326331
627,-32.42204285,-0.739133
628,-32.51047516,-1.141264081
629,-32.59783554,-1.497434497
630,-32.68026733,-1.808244228
631,-32.78107452,-2.162439585
632,-32.87496948,-2.47147584
633,-32.98896027,-2.823334455
634,-33.12665176,-3.216636181
635,-33.24002838,-3.520716906
636,-33.39293289,-3.909487009
637,-33.51711273,-4.210578918
638,-33.66514206,-4.55337429
639,-33.82019806,-4.894138813
640,-33.98258972,-5.232465267
641,-34.15192032,-5.568362236
642,-34.32748413,-5.90203619
643,-34.50862503,-6.233618736
644,-34.69493484,-6.563061237
645,-34.88607407,-6.890087128
646,-35.0822525,-7.21489048
647,-35.25834274,-7.497912884
648,-35.46422577,-7.819989204
649,-35.67433929,-8.140524864
650,-35.88800049,-8.459955215
651,-36.07753372,-8.738809586
652,-36.29679108,-9.057029724
653,-36.51910019,-9.374580383
654,-36.74484253,-9.69113636
655,-36.97441101,-10.00632763
656,-37.17870712,-10.28071213
657,-37.41585159,-10.59281635
658,-37.62615204,-10.86488914
659,-37.86929321,-11.17489815
660,-38.11530304,-11.48406887
661,-38.36437607,-11.79229641
662,-38.61690521,-12.09916496
663,-38.93768311,-12.48067188
664,-39.19794846,-12.78459072
